"sourcePath","sourceSha256","sourceCategory","importPath","targetRuntimePath","status","calComTests","nerovaTests","featureFlag","licenseMarkers","notes"
".github/workflows/cron-stale-issue.yml","b813237fadc1977b544d7820de9c9aadf077327d3aecd2e808019995dd555880","ci","application/main/CalCom/.github/workflows/cron-stale-issue.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/cron-syncAppMeta.yml","b6f32203ce08c101e27adcd03f7e5af1bd159b0419f98621cf253e93d9b92926","ci","application/main/CalCom/.github/workflows/cron-syncAppMeta.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/cron-webhooks-triggers.yml","ec34df6e8bd5532c4213aa332bb4c5efe506972c81503728115d3941537b62c8","ci","application/main/CalCom/.github/workflows/cron-webhooks-triggers.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/delete-blacksmith-cache.yml","f0e355f5e49da9a0bc56519fd05b5937ad5524e1e1bfe7d9020d978a0eebbedb","ci","application/main/CalCom/.github/workflows/delete-blacksmith-cache.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/docs-build.yml","0acd27dd98648a410dfacdb01ddf62062c687725d4e414f04d6f4597c5da426e","ci","application/main/CalCom/.github/workflows/docs-build.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/draft-release.yml","ff2ca33c6d6128fdc1518f7ea4a33aa845d81d5cbd78dc214f04f41c4f4ef9ca","ci","application/main/CalCom/.github/workflows/draft-release.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/e2e-api-v2.yml","d3a90432c68d7953407695cadb849480fd2f71c611d309e721e9ded2c02d495f","ci","application/main/CalCom/.github/workflows/e2e-api-v2.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/e2e-app-store.yml","37c541f4bf6682120e17dd02bf288ac14e372035d577b5bf24db657f40f2faf1","ci","application/main/CalCom/.github/workflows/e2e-app-store.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/e2e-atoms.yml","24505e2e1c42f9e67447be145817a5e018890f2604315e0cfd2f39b5e552bd88","ci","application/main/CalCom/.github/workflows/e2e-atoms.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/e2e-embed-react.yml","70674accf4f202531a071a486a3df3e28539d618a874d259101f20bed2a7f311","ci","application/main/CalCom/.github/workflows/e2e-embed-react.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/e2e-embed.yml","013d5744211b82031f42d328d538ac1736de05b072c1ed1fbed693d906a36746","ci","application/main/CalCom/.github/workflows/e2e-embed.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/e2e-report.yml","4d6a9922e9d3d5205f707bc44959eb2b543f54898c5f1724828cdb966833a40b","ci","application/main/CalCom/.github/workflows/e2e-report.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/e2e.yml","6fe68707393f51a6f498a896b203f0a616d73d41040779178c64faa11797e02d","ci","application/main/CalCom/.github/workflows/e2e.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/i18n.yml","774c3ba97bf179c82d3abb83491db78f3c7fdecc3bc49901cafd1eca469118ca","ci","application/main/CalCom/.github/workflows/i18n.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/integration-tests.yml","eef6623a8e84194c4177d46b6d94e204d7c0a4077775856bf096bb777f3bf440","ci","application/main/CalCom/.github/workflows/integration-tests.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/labeler.yml","b03a234dd70b1d5536e2bb8523b946d4324288cd4b5d0bd800158790b55b7a07","ci","application/main/CalCom/.github/workflows/labeler.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/lint.yml","1680cc56d7ade5c172eebbc8a12ed2ba85a7e2d5ee36f773a9139a2efe003cdb","ci","application/main/CalCom/.github/workflows/lint.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/merge-reports.yml","d0b93ca949c0ae150e336d1195ac423838fe423a9d6004185011afc7c0ee16d3","ci","application/main/CalCom/.github/workflows/merge-reports.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/nextjs-bundle-analysis-annotation.yml","af9b76b37882a4a02725b382d9c287106534e88bdd5d1d0b2dc968ed868a44ca","ci","application/main/CalCom/.github/workflows/nextjs-bundle-analysis-annotation.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/nextjs-bundle-analysis.yml","b871d1e92c7b9311a133b3f560e76ca509ef0604b0d066a65dba8d105328aad3","ci","application/main/CalCom/.github/workflows/nextjs-bundle-analysis.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/on-changes-requested.yml","ea0b0dcd1e9ca63fb315df728c4f111a12f31a701ea372f2d20e908bfb36af75","ci","application/main/CalCom/.github/workflows/on-changes-requested.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/performance-tests.yml","031dd4a9c1a5993a7eeb6317fe42e1c0e0d2fa827f9056a8e3c6e2b303ec8307","ci","application/main/CalCom/.github/workflows/performance-tests.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/post-release.yml","5ca3a4abc7ffda22b16d6f0668054d1304d446f06d473478851868b163dbda97","ci","application/main/CalCom/.github/workflows/post-release.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/pr.yml","23457c6aed30a1650214073bbfee024d89ffbc1218c654290f9f1317d6cc5f0d","ci","application/main/CalCom/.github/workflows/pr.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/production-build-without-database.yml","67a8af1c958b5652bb431ea5e700326749f54c041476131c449d966e672cffb1","ci","application/main/CalCom/.github/workflows/production-build-without-database.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/publish-report.yml","ada234f722b71b427675cfe2b8c0c080b8587db0bafe23f7a3c551dee6250123","ci","application/main/CalCom/.github/workflows/publish-report.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/re-draft.yml","daeaa90c8a0fa42f829d423ca607ca818298ad05560a316f3ab7cd2c6b9fa8cc","ci","application/main/CalCom/.github/workflows/re-draft.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/release-docker.yaml","54c1323adee7acd875b654180749dd7b3dc69da8a5ccfd06333aee34c2007c39","ci","application/main/CalCom/.github/workflows/release-docker.yaml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/run-ci.yml","ca43eab29744405a47d807263dfe251ad2fe8fcb8d235a4b64b52a70d0b7ed18","ci","application/main/CalCom/.github/workflows/run-ci.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/security-audit.yml","e716235160729f0248083cbe9e2ec962133276f9a0e6469f324da7b83690f7bc","ci","application/main/CalCom/.github/workflows/security-audit.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/semantic-pull-requests.yml","6f43fb47c1a677da1aade3057fefce3db1d02f466976f93c7bad9698cf8ce490","ci","application/main/CalCom/.github/workflows/semantic-pull-requests.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/setup-db.yml","dba513be860f9f018f8c8cd15ab2d0404e7c00933a2ec11b60702530d7e0c2bb","ci","application/main/CalCom/.github/workflows/setup-db.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/unit-tests.yml","b0f49be97ce25a8718e017ca4421032ad11ccd58e79d095ef52dbe07695ff64b","ci","application/main/CalCom/.github/workflows/unit-tests.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".gitignore","12b4ca8b883a4ced583839aecf85c9b661cb8d72475a3c7ed1ba3895d58a797c","source","application/main/CalCom/.gitignore","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
".gitpod.yml","8211fcec0c8783fa18f7459eea696a872fd03a3105b51c7b9ce8aa015670aeb9","source","application/main/CalCom/.gitpod.yml","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
".husky/pre-commit","31796337262b0f91c8b47019fa266aeaf993cdf35558e314953544dd59a81960","source","application/main/CalCom/.husky/pre-commit","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
".kodiak.toml","94d800ae17f24d0f765dcc9053d5d5fadf72e5cc75f90d2947b8199195deeeae","source","application/main/CalCom/.kodiak.toml","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
".npmrc","9064f85dcf51439b8cf45f0603e001029dceeccd078673bc66881e814af270f2","source","application/main/CalCom/.npmrc","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
".opencode/skill/vercel-react-best-practices/AGENTS.md","14fe670dea55f56b347feadd27fc0b9a90eb2b40b1782fc1e60649edd93b8a2a","source","application/main/CalCom/.opencode/skill/vercel-react-best-practices/AGENTS.md","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
".opencode/skill/vercel-react-best-practices/SKILL.md","ca1c66c7b2e0eb9d4c0d1e01644b8398d1cce572e097f827dbfefd797f35a23f","source","application/main/CalCom/.opencode/skill/vercel-react-best-practices/SKILL.md","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
".opencode/skill/vercel-react-best-practices/rules/advanced-event-handler-refs.md","28d1eb8533393cf861ffd4ef51d3836a48535c6cc41c143ac16266c843ce898e","source","application/main/CalCom/.opencode/skill/vercel-react-best-practices/rules/advanced-event-handler-refs.md","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
".opencode/skill/vercel-react-best-practices/rules/advanced-use-latest.md","39732d02fb3915fe5984cfd935e1d9e247579276b4c133dd130c1166f94f0c92","source","application/main/CalCom/.opencode/skill/vercel-react-best-practices/rules/advanced-use-latest.md","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
".opencode/skill/vercel-react-best-practices/rules/async-api-routes.md","adf38ea4f34fa74b275b908e49aa20de20af9d9935b4a656314a49217b182663","source","application/main/CalCom/.opencode/skill/vercel-react-best-practices/rules/async-api-routes.md","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
".opencode/skill/vercel-react-best-practices/rules/async-defer-await.md","6a2b9e19555a17662755e01d129fa21b8c6a659731d860b7cc918ba47be2a942","source","application/main/CalCom/.opencode/skill/vercel-react-best-practices/rules/async-defer-await.md","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
".opencode/skill/vercel-react-best-practices/rules/async-dependencies.md","dc7a0e91c915996cc6c43ddd2a67555c1d5f215ebf88ccae0d65f0b68130e3a0","source","application/main/CalCom/.opencode/skill/vercel-react-best-practices/rules/async-dependencies.md","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
".opencode/skill/vercel-react-best-practices/rules/async-parallel.md","ff95abbb67b62a889d7ef71f1d06834238c47ecd3d49483f7823b4cd17d92680","source","application/main/CalCom/.opencode/skill/vercel-react-best-practices/rules/async-parallel.md","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
".opencode/skill/vercel-react-best-practices/rules/async-suspense-boundaries.md","8a6e88c6e5190e10d3e3ebca89a1bc4fefc4bdb0cbc9c6f406ce02452a5759df","source","application/main/CalCom/.opencode/skill/vercel-react-best-practices/rules/async-suspense-boundaries.md","","imported","","","cal-com-core","","Initial full-source import; runtime adaptation pending."
